subject,predicate,object
C0025266,PROCESS_OF,C0338106
C4304995,TREATS(INFER),C0184661
C0021083,USES,C0965245
C1823649,COEXISTS_WITH,C0008838
C0030705,TREATS,C0279025
C1707439,PROCESS_OF,C0030705
C0600558,NEG_AFFECTS,C0677984
C1865043,INTERACTS_WITH,C1420702
C3539957,TREATS,C0006826
C0022885,USES,C0021044
C0009378,DIAGNOSES,C0333355
C3853822,AFFECTS,C0007600
C0018270,AUGMENTS,C1826412
C0007587,LOCATION_OF,C0682610
C0009368,LOCATION_OF,C0016059
C0027651,ASSOCIATED_WITH,C0664336
C0030705,TREATS,C0279027
C0014939,TREATS,C0007102
C0022957,COMPARED_WITH,C0073374
C0311277,PREDISPOSES,C0009402
C0030705,LOCATION_OF,C1708438
C0030705,PROCESS_OF,C3842384
C0221198,COEXISTS_WITH,C0021390
C0030705,NEG_PROCESS_OF,C0037088
C0752319,CAUSES,C0162638
C0007531,LOCATION_OF,C0265325
C2939419,PREDISPOSES,C1427383
C0193171,TREATS,C0019112
C1101610,COMPARED_WITH,C1553667
C0205725,PART_OF,C0012854
C1096061,CAUSES,C0235329
C0030705,PROCESS_OF,C0854893
C0003611,TREATS,C0001430
C0543419,PRECEDES,C0006826
C0039082,COEXISTS_WITH,C0087086
C0030705,NEG_PROCESS_OF,C2248809
C0032584,LOCATION_OF,C0027651
C0033684,INTERACTS_WITH,C1424020
C1511562,TREATS,C3472375
C0009378,DIAGNOSES,C0333361
C0032207,AFFECTS,C0006826
C0521210,TREATS,C0030705
C0009402,DIAGNOSES,C0007584
C1276114,COEXISTS_WITH,C0553697
C0012634,LOCATION_OF,C0024109
C3714800,STIMULATES,C1366894
C0178874,ASSOCIATED_WITH,C1506307
C0150312,DIAGNOSES,C0022885
C0242402,USES,C0002903
C0030705,TREATS,C2711393
C0038351,LOCATION_OF,C0333848
C3840862,TREATS,C0751429
C0030705,PROCESS_OF,C0001175
C1510809,TREATS,C0009324
C0020964,AFFECTS,C0043240
C0004057,PREVENTS,C0850572
C0009402,TREATS(INFER),C0020852
C0162638,AFFECTS,C0024117
C1153706,TREATS,C3658706
C2608114,COEXISTS_WITH,C1514918
C0042789,AFFECTS,C1527249
C0153470,COEXISTS_WITH,C0333288
C3260303,TREATS,C1511790
C0027651,TREATS,C0026032
C0003316,INTERACTS_WITH,C0017428
C1425259,ASSOCIATED_WITH,C0017638
C0540511,NEG_TREATS(SPEC),C0346647
C1302401,AFFECTS,C0596070
C0948380,ASSOCIATED_WITH,C0069515
C0150312,COEXISTS_WITH,C1096155
C0016360,COEXISTS_WITH,C0064548
C0020179,PROCESS_OF,C0001675
C2939419,ASSOCIATED_WITH,C0145779
C0010834,PART_OF,C0431085
C0012984,PROCESS_OF,C0034885
C0017636,TREATS(SPEC),C0039736
C0025266,NEG_PROCESS_OF,C0262926
C0042449,PART_OF,C0922960
C1419373,LOCATION_OF,C0021839
C0043210,PROCESS_OF,C0242114
C0278803,LOCATION_OF,C0023685
C0029250,LOCATION_OF,C0373483
C0677984,TREATS,C1708063
C0742919,DIAGNOSES,C0221198
C0012984,PROCESS_OF,C1302401
C0011519,DISRUPTS,C0220781
C0030705,PROCESS_OF,C0280209
C0013230,COEXISTS_WITH,C0812241
C0227525,ADMINISTERED_TO,C0030298
C0524722,TREATS,C0027651
C0164786,INTERACTS_WITH,C0673013
C0032584,COEXISTS_WITH,C0007113
C0399623,USES,C1261322
C1412338,ASSOCIATED_WITH,C0009402
C0036916,ISA,C0001175
C0027361,PROCESS_OF,C1332866
C0009402,TREATS,C0023690
C0015252,ISA,C0193063
C0153440,TREATS,C2987624
C0005117,ISA,C0002062
C4505151,ADMINISTERED_TO,C0030705
C0009368,PART_OF,C1420744
C0009402,TREATS(INFER),C0030231
C0032520,USES,C1881824
C0123931,HIGHER_THAN,C0005427
C0220781,AFFECTS,C0017262
C0009402,AFFECTS,C1956108
C0086418,PROCESS_OF,C0260037
C0085183,LOCATION_OF,C0024109
C0086143,ISA,C0041618
C0014442,COEXISTS_WITH,C1417861
C0007102,ASSOCIATED_WITH,C0209278
C0015252,ISA,C0193062
C3806166,PREDISPOSES,C4321237
C1708063,USES,C3658706
C0026724,LOCATION_OF,C0043240
C0022116,TREATS,C0020431
C0206248,LOCATION_OF,C0332219
C0017181,PROCESS_OF,C0030705
C0947630,USES,C0520484
C0003617,LOCATION_OF,C0086692
C0751416,TREATS(INFER),C0040289
C0028977,PART_OF,C0005839
C0302592,TREATS(INFER),C0006098
C0524865,METHOD_OF,C0040736
C0015252,COMPARED_WITH,C1706406
C0013203,NEG_AFFECTS,C0009253
C1564904,PREDISPOSES,C0751366
C3825288,AFFECTS,C0013089
C0277556,TREATS,C0015252
C0030193,LOCATION_OF,C0035561
C2826279,DIAGNOSES,C0009378
C0040405,DIAGNOSES,C0240225
C0086418,PROCESS_OF,C2674432
C0027361,PROCESS_OF,C1518869
C0206695,ISA,C0012634
C1446340,COMPARED_WITH,C0300824
C0677930,LOCATION_OF,C0035359
C0149889,COEXISTS_WITH,C0007130
C0460048,COEXISTS_WITH,C0009566
C0311392,LOCATION_OF,C0024204
C0006826,TREATS(INFER),C0683525
C0001418,TREATS,C0085533
C0025266,PROCESS_OF,C0749356
C1823178,DISRUPTS,C0027651
C0596290,AUGMENTS,C0162905
C0948380,TREATS,C0678054
C0001418,PART_OF,C0030705
C1418715,ASSOCIATED_WITH,C0001418
C0030705,ADMINISTERED_TO,C0076096
C0242656,ISA,C0023467
C0153690,ASSOCIATED_WITH,C3539688
C2939419,AFFECTS,C1517052
C0069717,CAUSES,C0035410
C0032584,DIAGNOSES,C1721048
C0262584,LOCATION_OF,C0227411
C0027651,COEXISTS_WITH,C1319315
C0086418,PROCESS_OF,C0020538
C0017195,DIAGNOSES,C0038358
C0024660,PROCESS_OF,C0007621
C0178874,ASSOCIATED_WITH,C0037167
C1335302,ASSOCIATED_WITH,C0072460
C0024203,ISA,C0184661
C0025962,AFFECTS,C1300200
C0004611,PRODUCES,C0046188
C0007097,ISA,C0009566
C1416567,DISRUPTS,C0162638
C1537570,INTERACTS_WITH,C0003241
C1527418,TREATS,C0436307
C0184908,TREATS(INFER),C0729262
C0030705,PROCESS_OF,C0206275
C0009402,CAUSES,C0021933
C0009402,CAUSES,C1333990
C0278259,COMPARED_WITH,C1421834
C0004391,AUGMENTS,C0003762
C0346975,ASSOCIATED_WITH,C0796392
C0671970,TREATS(INFER),C0600688
C0243077,TREATS,C0677930
C0009462,PROCESS_OF,C0007102
C0182400,USES,C0037812
C0004398,DIAGNOSES,C0341334
C0672250,COEXISTS_WITH,C1413467
C1457887,TREATS(INFER),C1868801
C0001511,ASSOCIATED_WITH,C0017337
C0006631,ISA,C0033684
C0040300,AUGMENTS,C1422787
C1826565,COEXISTS_WITH,C0082731
C0751993,ASSOCIATED_WITH,C0332448
C0206725,PROCESS_OF,C0025266
C0029939,LOCATION_OF,C0345832
C0229671,LOCATION_OF,C0018847
C0006098,ISA,C0087111
C0017262,ASSOCIATED_WITH,C0040649
C0027627,ASSOCIATED_WITH,C3494234
C0494165,CAUSES,C1333768
C0751973,PART_OF,C0494165
C0023895,ISA,C0239946
C3252639,LOCATION_OF,C0022646
C3272283,COEXISTS_WITH,C0267375
C0025266,TREATS,C0585462
C0193883,PRECEDES,C0436307
C0677984,TREATS(INFER),C0013216
C0004096,TREATS,C2004459
C0024432,PART_OF,C0009368
C0600472,DISRUPTS,C0376452
C0005893,PRECEDES,C0184661
C0030705,PROCESS_OF,C0231243
C0178874,ASSOCIATED_WITH,C0390690
C0877373,TREATS,C0006098
C0071097,INTERACTS_WITH,C0965245
C0009402,PART_OF,C0040300
C0178874,PREVENTS,C0028115
C0027361,PROCESS_OF,C0011065
C0040300,LOCATION_OF,C1424849
C0007634,PART_OF,C1101610
C3495919,PROCESS_OF,C0524516
C0949059,ISA,C0032584
C4321237,LOCATION_OF,C1549092
C0079394,COEXISTS_WITH,C1155873
C0227349,LOCATION_OF,C0037293
C4330475,LOCATION_OF,C1416771
C0005863,MEASURES,C3178812
C0027651,LOCATION_OF,C0037993
C1096155,COEXISTS_WITH,C1531773
C0019080,ISA,C0018965
C0178874,DISRUPTS,C0079427
C0069717,TREATS,C0948380
C0058108,INTERACTS_WITH,C0013227
C0014245,NEG_DIAGNOSES,C0009375
C0017952,AFFECTS,C1822692
C0027627,LOCATION_OF,C0205054
C0009402,AFFECTS,C0017337
C2939419,DISRUPTS,C0667570
C1414520,INTERACTS_WITH,C0080054
C0543467,TREATS,C0152018
C1101610,AFFECTS,C1335302
C0021760,MEASURES,C1709846
C1515670,LOCATION_OF,C1424135
C0030705,PROCESS_OF,C0231255
C0001675,TREATS,C1511790
C1258005,STIMULATES,C0213709
C0585464,ADMINISTERED_TO,C0582175
C0006826,TREATS,C0671970
C0006826,ISA,C0021167
C0030705,PROCESS_OF,C0541912
C0332855,ADMINISTERED_TO,C0279538
C0009319,AUGMENTS,C1412398
C0694891,PART_OF,C0006826
C0007097,LOCATION_OF,C0040408
C0005390,LOCATION_OF,C0015733
C0043210,PROCESS_OF,C1711390
C0035110,PREVENTS,C0919691
C0334227,LOCATION_OF,C0009402
C0018270,DISRUPTS,C1423497
C0877248,ASSOCIATED_WITH,C1419419
C0494165,ASSOCIATED_WITH,C1337392
C0030705,PROCESS_OF,C0206249
C0043528,TREATS,C0013227
C0027627,LOCATION_OF,C0205065
C0019144,TREATS,C1319315
C4277543,INTERACTS_WITH,C0524914
C0599755,NEG_PROCESS_OF,C2985506
C3163918,COEXISTS_WITH,C0009402
C0010654,DISRUPTS,C0027651
C0543467,TREATS(SPEC),C0149978
C2744535,AFFECTS,C0476073
C0001206,PROCESS_OF,C0870668
C0027653,AFFECTS,C0002760
C0009402,DIAGNOSES,C2717977
C0017296,TREATS,C1520166
C1423066,AFFECTS,C0026724
C0030705,TREATS,C1521745
C0017428,USES,C2733022
C1335057,COEXISTS_WITH,C0002520
C0042232,PART_OF,C0030705
C0334227,DISRUPTS,C0025234
C0598934,LOCATION_OF,C0005847
C0040300,DISRUPTS,C1537700
C0017152,COEXISTS_WITH,C4055506
C0184661,COMPARED_WITH,C0002921
C1367307,STIMULATES(SPEC),C0016360
C0027651,ISA,C0346429
C0030705,PROCESS_OF,C0015732
C0035173,DIAGNOSES,C0009402
C0000934,PROCESS_OF,C0337810
C0220908,ADMINISTERED_TO,C0259901
C0623362,ASSOCIATED_WITH,C0006826
C0009319,PREDISPOSES,C1290884
C1101610,COMPARED_WITH,C0887909
C0027260,LOCATION_OF,C0030705
C1332243,ISA,C0006826
C1336869,TREATS(INFER),C0015252
C0027361,PROCESS_OF,C0578022
C0007130,NEG_PART_OF,C0084785
C0178874,PREDISPOSES,C1825409
C0002475,USES,C0040808
C0919524,LOCATION_OF,C0030705
C0030705,LOCATION_OF,C1420578
C0243077,TREATS,C0677984
C0039259,LOCATION_OF,C1096155
C0596290,ISA,C0018270
C1176309,NEG_TREATS,C0020517
C0031039,CAUSES,C0007113
C0522622,DIAGNOSES,C0079304
C0013303,LOCATION_OF,C0002690
C0184918,TREATS(INFER),C0027651
C0007621,COEXISTS_WITH,C0887840
C2352801,INHIBITS(SPEC),C1564904
C0020517,PREDISPOSES,C0027653
C0052441,STIMULATES,C0936060
C0023903,ISA,C0279000
C0027651,PROCESS_OF,C0012984
C0074992,LOCATION_OF,C0022727
C0029921,PROCESS_OF,C0009404
C0017337,COEXISTS_WITH,C3178810
C0027627,AFFECTS,C0033572
C4055105,ASSOCIATED_WITH,C0027651
C0085533,TREATS,C0262401
C1397014,ASSOCIATED_WITH(SPEC),C0007113
C0007634,LOCATION_OF,C3714542
C0334044,COEXISTS_WITH,C4524824
C0333291,DIAGNOSES(SPEC),C1721048
C0001418,CAUSES,C1332243
C0162326,LOCATION_OF,C0036563
C1564904,INTERACTS_WITH,C1420072
C3850079,TREATS,C0025266
C4050317,COEXISTS_WITH,C1520166
C0431085,INTERACTS_WITH,C3540595
C1293091,METHOD_OF,C0040395
C0042029,PROCESS_OF,C0007450
C1332838,LOCATION_OF,C0023884
C0678236,ISA,C0012634
C0003242,STIMULATES,C1417861
C0030705,PROCESS_OF,C0231217
C0030705,PROCESS_OF,C0231218
C4055105,ASSOCIATED_WITH,C0027627
C1254351,COEXISTS_WITH,C0003232
C0062585,TREATS,C1527249
C0596581,INTERACTS_WITH,C0014695
C0543467,TREATS,C0009932
C1120843,DISRUPTS,C0004391
C0001418,LOCATION_OF,C0026724
C0027651,LOCATION_OF,C0037922
C0140283,STIMULATES,C0732611
C1426964,ASSOCIATED_WITH,C0009402
C1420392,INTERACTS_WITH,C0007090
C1261322,AFFECTS,C0041618
C0015252,CAUSES,C2103078
C0291573,INHIBITS,C1256770
C3814448,USES,C4321252
C0010834,LOCATION_OF,C0596043
C0877373,LOCATION_OF,C0038351
C2744535,LOCATION_OF,C0033572
C0030705,PROCESS_OF,C0231221
C0029005,ISA,C0080058
C0030705,PROCESS_OF,C0231224
C0026255,COEXISTS_WITH,C1658122
C3873567,PREVENTS,C0596036
C0009375,COEXISTS_WITH,C0021933
C2239176,AFFECTS,C0007621
C0870602,PROCESS_OF,C0027651
C2681105,DISRUPTS,C2611812
C0193883,PRECEDES,C1273428
C2728259,LOCATION_OF,C0038250
C0334254,LOCATION_OF,C0013303
C0746319,AFFECTS,C2744535
C0007102,PREDISPOSES,C0033684
C0003232,TREATS,C0267537
C0012634,AUGMENTS,C0010823
C0030705,PART_OF,C1415533
C0393293,PRECEDES,C0023985
C0174680,MEASURES,C0005863
C0030705,ADMINISTERED_TO,C3489575
C2987624,TREATS,C1334811
C1419202,INHIBITS,C1426048
C0030705,ADMINISTERED_TO,C0742919
C1516231,TREATS,C0870535
C0014441,MEASURES,C0242275
C0024115,PROCESS_OF,C0026914
C0220908,TREATS,C0205160
C0087111,ISA,C1883256
C0009368,LOCATION_OF,C0334108
C0028259,LOCATION_OF,C0028977
C0001175,CAUSES,C0042776
C0026809,PROCESS_OF,C0920420
C0015376,TREATS(INFER),C0810152
C0010606,LOCATION_OF,C0460004
C0012634,TREATS,C1273428
C0184893,PRECEDES,C0852681
C0021044,MEASURES,C3244092
C0007137,TREATS(INFER),C2004459
C0015376,PRECEDES,C0035613
C0026682,LOCATION_OF,C0008668
C0032584,ISA,C0282207
C1412036,TREATS(INFER),C2945704
C0030705,ADMINISTERED_TO,C0017797
C0599725,DISRUPTS,C2935448
C0003617,LOCATION_OF,C0238198
C0024075,USES(SPEC),C0020985
C0007102,ISA,C0346627
C0387583,STIMULATES,C0023810
C0279000,ISA,C0023903
C1426669,STIMULATES,C0751993
C4318450,PART_OF,C0879391
C0018270,DISRUPTS,C1423744
C0694897,LOCATION_OF,C0036387
C0018150,CAUSES,C3714514
C0949059,PREVENTS,C0184661
C0052929,STIMULATES,C0016360
C0023690,AFFECTS,C0333288
C0009368,LOCATION_OF,C0334102
C0521158,LOCATION_OF,C0024109
C0007115,AFFECTS(SPEC),C0005684
C1426113,ASSOCIATED_WITH,C0001511
C0206693,ISA,C0007097
C1820119,AFFECTS,C1510470
C0030193,PROCESS_OF,C0524338
C0439662,AUGMENTS,C0003392
C0027809,LOCATION_OF,C0227375
C1708063,USES,C4055105
C0221198,PREDISPOSES,C0241889
C0221198,ISA,C1883252
C0027651,ASSOCIATED_WITH,C0003242
C0007131,COEXISTS_WITH(SPEC),C0027651
C0030193,COEXISTS_WITH,C4041537
C0031843,PROCESS_OF,C0026809
C1275216,COEXISTS_WITH,C0030186
C0030705,PROCESS_OF,C0541990
C1171362,PROCESS_OF,C0026809
C2939419,PART_OF,C0586688
C0184661,TREATS,C2986530
C0043210,PROCESS_OF,C1153706
C1629836,LOCATION_OF,C0016030
C4038855,TREATS,C0744813
C0162638,AUGMENTS,C1413824
C0685938,ASSOCIATED_WITH,C0539266
C0005516,PREDISPOSES,C0009324
C1457887,ISA,C0850149
C2728259,PREDISPOSES,C0027651
C4084880,INTERACTS_WITH,C2985398
C0030186,ISA,C0221198
C1825598,LOCATION_OF,C0178825
C2239176,PREVENTS,C1964029
C0227388,LOCATION_OF,C0032584
C3850079,TREATS,C3839280
C0034606,USES,C0087068
C0103404,LOCATION_OF,C1708335
C0030705,PART_OF,C1449159
C0025202,AFFECTS(SPEC),C0699790
C0004364,COEXISTS_WITH,C0879626
C1319309,USES,C0885297
C0025266,ADMINISTERED_TO,C0033573
C0027651,ASSOCIATED_WITH,C0003250
C0879593,PART_OF,C0249989
C1825598,PROCESS_OF,C1519614
C0011991,CAUSES,C0017375
C0009566,ISA,C0178282
C0949059,PRECEDES,C0024623
C4055506,AUGMENTS,C0003682
C0009402,ASSOCIATED_WITH,C1428949
C0600688,PREVENTS,C1512814
C0033860,ISA,C0012634
C0334044,LOCATION_OF,C1185740
C0015576,PROCESS_OF,C0009324
C0870883,CAUSES,C0020538
C0388437,ISA,C0682972
C4236737,LOCATION_OF,C1956422
C0012634,AUGMENTS,C0010346
C0027651,MEASURES,C1699633
C0449575,PROCESS_OF,C0030705
C0036025,INTERACTS_WITH,C0525033
C0024109,LOCATION_OF(SPEC),C0262584
C0020964,PROCESS_OF,C0021853
C0003402,INTERACTS_WITH,C0080055
C1420267,STIMULATES,C1520113
C1273428,TREATS(INFER),C1306294
C1416567,LOCATION_OF,C1292533
C0009402,ASSOCIATED_WITH,C0013900
C0812241,COMPARED_WITH,C1568891
C0149978,DIAGNOSES,C0011900
C0948380,TREATS,C0796392
C0007097,ISA,C0221198
C0600688,PREVENTS(SPEC),C1512814
C0015252,TREATS,C0460048
C0030705,PROCESS_OF,C0516983
C0007586,AUGMENTS,C1333664
C0927195,LOCATION_OF,C1332692
C0030705,PROCESS_OF,C0516981
C1415629,INHIBITS,C1180307
C0001418,COEXISTS_WITH,C0012860
C0006826,PREDISPOSES,C0006684
C0028259,DIAGNOSES,C1964257
C0961814,LOCATION_OF,C0040300
C0036572,CAUSES,C1273874
C0021852,LOCATION_OF,C0685938
C0027651,AFFECTS,C0260194
C0376358,AFFECTS(SPEC),C0009402
C0431085,AFFECTS,C0021242
C0004398,DIAGNOSES,C0027627
C0004610,CAUSES,C0315106
C0006826,LOCATION_OF,C0037303
C0152060,TREATS,C0043251
C3850079,TREATS,C0334513
C1423053,DISRUPTS,C1536999
C0042345,LOCATION_OF,C0023216
C0750479,PROCESS_OF,C0009932
C0003250,USES,C2985566
C0007584,DIAGNOSES,C0020517
C0021344,CAUSES,C0349534
C0009566,PREDISPOSES,C0231337
C0019637,DIAGNOSES,C0334044
C0003617,LOCATION_OF,C1335168
C0013227,PREDISPOSES,C0006826
C0164786,AUGMENTS,C0162638
C0007621,ASSOCIATED_WITH,C1333573
C0221198,LOCATION_OF,C0020885
C1538577,LOCATION_OF,C0282639
C0162772,PREDISPOSES,C0596402
C0221198,LOCATION_OF,C0020880
C1457887,TREATS,C0015691
C0013216,TREATS,C1368354
C2744535,AFFECTS,C2919733
C0009402,PREDISPOSES,C1413773
C0012634,AUGMENTS,C0009324
C0461643,USES,C0023038
C0030705,PROCESS_OF,C0029925
C0013604,PREVENTS,C0000983
C0009402,ASSOCIATED_WITH,C3813609
C0030705,PROCESS_OF,C1535939
C0040300,PART_OF,C0037017
C0262584,ISA,C0006826
C0699900,AFFECTS,C0208355
C0002062,LOCATION_OF,C0086707
C3469837,STIMULATES,C1418610
C0007090,INTERACTS_WITH,C1335812
C0027651,PART_OF,C1412430
C0030247,NEG_DIAGNOSES,C0027651
C0877248,PREDISPOSES,C0441516
C0016360,TREATS(SPEC),C0007102
C0079189,PRODUCES,C1550101
C0009319,PRECEDES,C0267567
C0087111,AFFECTS,C0026649
C1319309,METHOD_OF,C0152060
C0018150,ASSOCIATED_WITH,C0036690
C0278480,TREATS,C1517722
C1367307,STIMULATES,C0525678
C0682523,LOCATION_OF,C3898998
C1333990,ASSOCIATED_WITH,C1825598
C0302821,LOCATION_OF,C0009368
C4042483,PART_OF,C4282114
C0163275,ASSOCIATED_WITH,C0920779
C0030705,PROCESS_OF,C0030920
C0085668,LOCATION_OF,C0021852
C1306459,PREDISPOSES,C0332149
C0684004,TREATS,C0030705
C1293091,ADMINISTERED_TO,C0030705
C1142163,CAUSES,C0235329
C0599755,LOCATION_OF,C0033308
C1708790,PREDISPOSES,C1290905
C0001430,DIAGNOSES,C0031831
C0015252,TREATS,C3495919
C3891256,ASSOCIATED_WITH,C2239176
C0596545,PROCESS_OF,C0599755
C0015576,PROCESS_OF,C0000934
C0400843,LOCATION_OF,C0227375
C1257954,PREVENTS,C1302401
C0221198,DIAGNOSES,C0024485
C0015250,COMPARED_WITH,C0015252
C0014175,TREATS,C0741614
C0031117,CAUSES,C0069717
C0015250,COMPARED_WITH,C0015250
C0475466,LOCATION_OF,C0001418
C0694888,COEXISTS_WITH,C0022457
C0028754,PREDISPOSES,C1833334
C0006826,TREATS,C0030231
C0745442,TREATS(INFER),C0278484
C2987634,USES,C0021083
C0006826,PROCESS_OF,C0034693
C0005863,LOCATION_OF,C0040300
C1453853,MEASURES,C0005863
C1101610,INTERACTS_WITH,C0079941
C0035363,LOCATION_OF,C1273810
C0007113,COEXISTS_WITH,C0009402
C0013227,USES,C0451615
C0012634,COEXISTS_WITH,C0596263
C0010834,LOCATION_OF,C0082731
C0919691,COEXISTS_WITH,C0332853
C1564904,INHIBITS,C1333533
C0885297,AFFECTS,C1522281
C1512127,COEXISTS_WITH,C0948380
C0074398,INTERACTS_WITH,C1414186
C0746922,PART_OF,C0222601
C0206058,METHOD_OF,C0920425
C0041485,NEG_PART_OF,C1420406
C0022457,COEXISTS_WITH,C0699680
C0439662,AFFECTS,C0086661
C1413772,INHIBITS,C0056661
C4055506,LOCATION_OF,C0022646
C0162772,PRODUCES,C0012860
C0920269,ASSOCIATED_WITH,C0219510
C0020887,PART_OF,C0457151
C0178784,LOCATION_OF,C0337196
C1515119,NEG_ADMINISTERED_TO,C0030705
C0006826,LOCATION_OF,C0013303
C0183518,USES,C0021107
C0015230,ISA,C0877248
C1332866,PROCESS_OF,C0086418
C2239176,PART_OF,C0440744
C0384648,LOCATION_OF,C0030705
C1336848,LOCATION_OF,C0040300
C0007134,COEXISTS_WITH(SPEC),C0027651
C0035648,PREDISPOSES,C0872084
C1425514,COEXISTS_WITH,C0002475
C0291573,STIMULATES,C0043847
C0005558,USES,C0182400
C0040300,PART_OF,C0027651
C0085533,COMPARED_WITH,C1852403
C0027651,LOCATION_OF,C0018670
C1258005,INTERACTS_WITH,C0012863
C0039215,PART_OF,C0080103
C1415761,INTERACTS_WITH,C0132298
C0003241,COEXISTS_WITH,C0013227
C0040300,PART_OF,C0027627
C0231221,COEXISTS_WITH,C0021843
C0596563,AFFECTS,C0017337
C0073591,CONVERTS_TO,C0068355
C0600558,TREATS,C0027651
C0796392,TREATS,C0025266
C0596290,DISRUPTS,C0812198
C1425514,INHIBITS,C0079633
C0030705,PROCESS_OF,C0436343
C0030705,PROCESS_OF,C0436345
C0238198,COEXISTS_WITH,C0280100
C3890285,AUGMENTS,C0596290
C0534858,AFFECTS,C0035126
C0543467,TREATS,C4510788
C1825598,AFFECTS,C0012634
C0023418,NEG_COEXISTS_WITH,C0009402
C0030705,LOCATION_OF,C1424135
C0069717,COEXISTS_WITH,C0013227
C0193062,COMPARED_WITH,C0751429
C1522281,LOCATION_OF,C1367307
C1528289,ISA,C0026682
C0031511,PROCESS_OF,C0030705
C0012634,ISA,C0023896
C0021044,MEASURES,C1413773
C0021740,STIMULATES,C2986868
C0877373,LOCATION_OF,C0205065
C0017178,ASSOCIATED_WITH,C0000737
C0026882,AFFECTS,C0015576
C0208355,STIMULATES,C1122962
C0026809,TREATS,C0012472
C0280100,TREATS(SPEC),C0728747
C0007097,ASSOCIATED_WITH,C1256770
C0007570,ISA,C0004364
C1420322,DISRUPTS,C1527249
C0348002,ISA,C0947647
C1134558,DISRUPTS,C0162638
C0236048,ASSOCIATED_WITH(INFER),C1413336
C0033860,TREATS,C0002423
C0334094,DISRUPTS,C1412182
C4330475,STIMULATES,C2936529
C0030705,PROCESS_OF,C0030971
C1418724,INTERACTS_WITH,C0034802
C3891660,DISRUPTS,C2980094
C3811765,PART_OF,C0927195
C1155266,ISA,C0038435
C0001418,LOCATION_OF,C0227582
C1417752,COEXISTS_WITH,C0170127
C0162638,CAUSES,C0001047
C1269955,AFFECTS,C1429015
C0242842,METHOD_OF,C1510438
C0005863,MEASURES,C0248007
C1367307,STIMULATES,C0069717
C1881358,LOCATION_OF,C0000726
C1158366,AUGMENTS,C1420239
C0005682,AFFECTS,C2926735
C0150093,LOCATION_OF,C0019994
C0260037,LOCATION_OF,C0205054
C0267561,LOCATION_OF,C0030705
C0012634,PROCESS_OF,C0028829
C1420699,ASSOCIATED_WITH,C0006826
C0009402,PREDISPOSES,C0730328
C0021368,AFFECTS,C1817756
C0683971,PROCESS_OF,C0007137
C3829683,ASSOCIATED_WITH,C0001418
C4525999,TREATS,C3640966
C0009402,AFFECTS,C0013203
C0023374,COEXISTS_WITH,C0685938
C0006142,COEXISTS_WITH,C2033117
C0193883,ISA,C0184661
C1707440,TREATS,C1273551
C1457887,COEXISTS_WITH,C0022104
C1261473,TREATS,C2985566
C3815646,STIMULATES,C0376515
C0040395,NEG_DIAGNOSES,C2939419
C1527349,TREATS,C0184661
C1142262,TREATS,C2980094
C1335812,INTERACTS_WITH,C1564904
C0007097,CAUSES,C3472375
C0021083,TREATS,C0677874
C0150312,LOCATION_OF,C0504075
C0040300,LOCATION_OF,C0599220
C0162638,AFFECTS,C1273428
C0007621,PRODUCES,C0961814
C0677984,COEXISTS_WITH,C0242596
C1261322,TREATS,C0009319
C0030705,PART_OF,C0221353
C0013227,TREATS,C0017636
C0069717,INTERACTS_WITH,C0164786
C0013227,TREATS,C0017638
C2926735,LOCATION_OF,C0012621
C2985566,NEG_TREATS,C0006826
C1258215,CAUSES,C0025037
C0040395,DIAGNOSES,C0007097
C0184661,TREATS,C1527349
C0024485,LOCATION_OF,C0037949
C0079744,DIAGNOSES,C0005558
C0009402,TREATS,C0381424
C0035110,PRECEDES,C0015252
C0014175,ISA,C0221198
C2954564,INTERACTS_WITH,C1333585
C3812393,ISA,C0034802
C0032207,INTERACTS_WITH,C2347296
C0034693,PROCESS_OF,C0041582
C0034251,COEXISTS_WITH,C0001963
C0752046,CAUSES,C0948380
C0033684,STIMULATES,C0036884
C2939419,TREATS,C1512814
C0007634,LOCATION_OF,C3203639
C0040648,INTERACTS_WITH,C0965245
C0007113,TREATS,C0917735
C0007587,LOCATION_OF,C0334227
C1096155,LOCATION_OF,C0222601
C4049944,USES,C0003250
C0003250,INTERACTS_WITH,C0245557
C1335812,PART_OF,C0009402
C1412299,LOCATION_OF,C0228390
C0016360,INHIBITS,C0870883
C0235974,ISA,C0009566
C0009404,TREATS,C0015252
C0021852,LOCATION_OF,C0333200
C0009402,AFFECTS,C0013227
C0039082,ISA,C0677776
C1825598,ASSOCIATED_WITH,C0333875
C1512430,DIAGNOSES,C0022885
C0231221,COEXISTS_WITH,C0021933
C0235329,COEXISTS_WITH,C0677886
C0027651,PART_OF,C2744535
C0334227,LOCATION_OF,C1511518
C3812881,DIAGNOSES,C1336960
C0178874,TREATS,C1553664
C0677862,PART_OF,C1319315
C0009402,AFFECTS,C3658208
C1516635,METHOD_OF,C0683465
C0228390,AUGMENTS,C1412299
C1825598,PART_OF,C0680022
C0011991,OCCURS_IN,C0030705
C0162638,LOCATION_OF,C2717940
C0920269,LOCATION_OF,C0227353
C0227375,LOCATION_OF,C1282538
C0021368,COEXISTS_WITH,C0030567
C0282560,AFFECTS,C0071649
C0013301,DIAGNOSES,C1265815
C1527349,COEXISTS_WITH,C0266012
C0009402,AFFECTS,C0013216
C0030797,LOCATION_OF,C1881358
