C0445117;Neoplasm present
C2681724;Neoplasms
C0039003;Exercise
C0042655;videocassette
C0016368;cytotoxicity
C0425424;Patients
C0017696;Metabolite
C4048328;Alaska Natives
C0016365;Mirtazapine
C0425422;Patients
C0039005;Family suidae
C0282560;matriptase
C0015031;Malignant Neoplasms
C3829491;Isolated Tumor Cells
C0748164;Multiple Pulmonary Nodules
C0016360;activity level
C0282563;Colorectal Carcinoma
C0041327;Patients
C1823882;U2AF2 gene
C0027015;Myeloma Proteins
C0003047;Animal Diseases
C0810473;Patients
C0750484;Cohort
C1835863;Nose
C0342569;Patients
C3816168;Second Primary Cancers
C2169814;Male population group
C0041312;Abdomen
C0750479;Tube feeding of patient
C0031990;Oxicams antiinflammatory and antirheumatic drugs
C0041317;Tuberculosis Male Genital
C0763617;Ribosomes
C0027028;Jejunum
C0004366;Kidney
C0030664;Pathology
C0027022;Myeloproliferative disease
C0004364;Primary biliary cirrhosis
C0005695;general population
C0030660;Elderly (population group)
C1425404;ATP6V1C2 gene
C0005690;removal technique
C0027021;Interleukin-6
C0030669;Surgical Pathology specialty
C0016343;phosphoramidate
C0016344;NUCB1 gene
C0342579;Patients
C0341248;Chronic duodenitis
C1412104;PAXIP1-AS1 gene
C0282583;Pathological Dilatation
C0749474;lobe
C0425440;Colorectal Carcinoma
C2680419;Biological Processes
C1412102;Patients
C0652089;Neoplasms
C1412103;cetuximab
C0282588;Drug Resistance Neoplasm
C1823860;Growth
C0054943;Body tissue
C0004398;Intussusception
C0412123;removal technique
C0003064;nifuroxazide
C0003062;monoamine
C0004391;interstitial cell
C1835841;Tumor cells malignant
C0017689;Erythema
C0017687;Hepatocyte
C0016356;Ulcer
C0016352;Fluorometry
C1412113;Malignant neoplasm of anus
C1366645;House mice
C1412111;Reactive Oxygen Species
C0281267;bilateral breast cancer
C0282598;Screening colonoscopy
C0282599;Retrospective Cohort Study
C0293237;Membrane Transport Proteins
C0751785;Patients
C0295893;Malignant neoplasm of brain
C1425426;Body tissue
C0751781;Dentatorubral-Pallidoluysian Atrophy
C0342582;Male population group
C0018988;Tumor cells malignant
C0016325;Fluoride Poisoning
C0042610;Veterans
C0017654;Symptoms score
C2363916;Male population group
C0016321;Fluorescent Probes
C0220283;Liver neoplasms
C1822478;Trauma rates
C1366537;Bacterial Infections
C0003009;Alzheimer's Disease
C0282521;DNA
C4543702;pembrolizumab
C0282523;Adenocarcinoma of duodenum
C0424093;Cohort
C0762318;Neoplasms
C1101322;Anti-Inflammatory Agents
C0078933;Blood Vessel
C0054967;CD6 antigen
C0017658;Glomerulonephritis
C0016327;Mammals
C3889123;SMG1 wt Allele
C0281206;Leukotriene Receptor Antagonist [EPC]
C0534858;Reperfusion Injury
C0282539;Palestinian race
C0546861;Doxorubicin
C1281196;Entire right ovary
C0031955;Anti-Bacterial Agents
C1367872;Metastatic Ureteral Neoplasm
C0763658;BIRC3 protein human
C0750430;Large Mass
C4048302;soluble
C0018966;Dietary Iron
C0282547;Assay
C0018965;Symptoms
C4325600;meiotic nuclear division
C0233577;Non-Small Cell Lung Carcinoma
C0018964;Hematoxylin
C1632842;Appendiceal Neoplasms
C3179121;Saponins
C0750426;Pouchitis
C2680450;subapical complex location
C1366555;Persons
C0282540;arab ethnic group
C0245561;Pain Postoperative
C3686650;Obstruction
C0004358;Cytoplasm
C1366550;Acute Chest Syndrome
C0005684;Spina Bifida
C0005682;Macrophage Activation Syndrome
C0005680;Black race
C0450363;Epithelial Cells
C0017638;Brain Neoplasms
C0017639;Intestinal Pseudo-Obstruction
C0017636;Malignant neoplasm of brain
C0282557;Immune Response Mucosal
C0016315;Fluorescence
C4050636;Ethanol
C0556202;Pancreatic Ductal Adenocarcinoma
C0282552;beta-Chemokines
C0282553;Immunity
C0282554;Colonic Neoplasms
C0449381;oxaliplatin
C0245557;therapeutic autologous dendritic cells
C0003015;Perindopril
C0030600;Stomach Carcinoma
C1366563;TFF2 gene
C0031939;Melatonin
C0016318;intracellular protein transport
C0018944;Postoperative Hemorrhage
C0018943;Hematology (discipline)
C2680477;Tumor tissue sample
C0018941;Thrombocytopenia
C0700148;Colon structure (body structure)
C0425382;Colorectal Carcinoma
C0546816;CD69 protein human
C0076316;Body tissue
C0400084;Ischemia
C2917212;Stomach
C0031928;Health care facility
C2680470;Clone
C0018946;intracranial metastatic tumor
C0031921;Escherichia coli
C4266455;removal technique
C0018951;ribosome biogenesis
C4266454;Appendix
C0521585;Fluorouracil
C0520251;Patients
C0052350;arginyl-glycyl-aspartic acid
C3650625;Abnormal uterine bleeding
C0078960;Anterior Cruciate Ligament
C0005615;World
C0271844;Parathyroid hyperplasia
C0076305;tetramethylpyrazine
C1366587;SPHK2 gene
C0256264;Marginal Zone
C0018956;flavan-3-ol
C0018922;Intracranial
C0018920;Hemangioma Cavernous
C0282507;Heat Stress Disorders
C3266814;Action
C4231719;Wnt receptor complex
C0354604;Advanced Malignant Solid Neoplasm
C0006948;Carbamates
C4266460;Lesion
C0018926;Patients
C0018923;Biopsy
C0018932;follow-up
C0282515;Rectal polyp
C0065684;mannose receptor
C0282512;Faculty
C0005632;Laxatives
C0232292;Patients
C0078988;risk factors
C4038952;Patients
C1100024;Lymphoid Cells
C0052377;Clonal Expansion
C0018939;Hematological Disease
C0018935;Cell Count
C0063034;IL17 Signaling Pathway
C0087009;Hospital specialist
C0700101;Carcinoma Transitional Cell
C1136031;Gene Silencing
C0870186;Patients
C1511790;Postoperative Hemorrhage
C1869153;Mus
C1305671;Cytology procedure
C3890199;GA-Binding Protein Transcription Factor
C1511789;Cervical Adenocarcinoma
C0006931;bile acid metabolism
C0185468;Patients
C0077678;Catabolism
C4300350;Severe colitis
C0172161;Stage III Colon Cancer
C0018916;Hemangioma
C0018915;Hepatic
C0088359;14710-tetraazacyclododecane- 14710-tetraacetic acid
C3266856;Transgendered Persons
C0700124;Dilated
C2363973;Patients
C0006901;Hyperplasia
C0221512;Woman
C1510483;histological diagnosis
C0006904;calcitonin receptor-like receptor
C3541167;Adenocarcinoma
C1318969;Patients
C2348331;Patients
C0184114;Extraction
C1149372;Cohort
C1510475;Intestinovesical fistula
C0184113;Decompression of intestine
C1522449;Mice Nude
C1318968;Ultrasonography
C1510470;Rattus norvegicus
C1318963;Readiness
C1317608;Patients
C1522495;Biopsy
C0258855;aggressive cancer
C0556213;Gastric Adenocarcinoma
C3266877;Seminoma
C1317600;patient symptoms
C1968835;Mycobacterium avium Complex
C0087044;TCF4 gene
C0556227;Colorectal Carcinoma
C3889161;Colorectal Neoplasms
C0871489;teams
C0063083;Toxic effect
C0087068;99mTc-Human Serum Albumin
C0556234;Middle Aged
C1140999;Patients
C0075086;Homo sapiens
C3686612;Present
C0162772;Abnormality of mitochondrial metabolism
C0087065;Taurine Lithocholate
C0233532;Microbiome
C1522486;Solid Neoplasm
C1522485;Tracer
C2363923;Falls
C0870134;ancestors
C0870132;Colorectal Carcinoma
C0871463;surgical patients
C0162788;Analysis
C0162782;Malignant Neoplasms
C0162781;Thiobarbituric Acid Reactive Substances
C0087051;Secondary Neoplasm
C2000799;EPHB2 protein human
C0317608;Lactobacillus plantarum
C0162789;Analysis
C0400447;Surgical Management
C0920809;Thickened
C0871311;Patients
C1979775;Oncology drugs
C0596790;Carcinoma Signet Ring Cell
C0162871;Aortic Aneurysm Abdominal
C0087086;Colon Carcinoma
C0449719;Cancer-Associated Fibroblasts
C0424403;Elderly (population group)
C1413188;Patients
C1426490;Small cell carcinoma of lung
C0149889;Vagina
C0400469;Pancreatic Intraductal Papillary-Mucinous Neoplasm
C1512944;T-Cell Receptor
C1512948;macrophage
C0391861;Patients
C0391860;Chronic disease
C1451465;PTK2 protein human
C0857021;Patients
C1512942;Paget Cell
C0860675;Ruptured Appendicitis
C1511605;Neoplasms
C1511606;Abdomen
C1425182;Diastasis
C0041296;Lower respiratory tract infection
C0041290;Laboratory Procedures
C1835909;T-Lymphocyte
C1414460;Tumor Angiogenesis
C1415790;Craniosynostosis
C0582103;Asymptomatic
C2348280;Chronic disease
C0679624;Malignant neoplasm of gastrointestinal tract
C0162832;Basis
C0162830;Radiation Damage
C1823924;Colorectal Carcinoma
C1440756;Neoplastic Cell
C0041282;Patients
C0162836;Gluteal
C0041281;Injection of therapeutic agent
C0162834;Woman
C1413149;Neoplastic Cell Transformation
C0860603;Duration
C1172033;Inflammation
C0041271;Diverticular Diseases
C4325235;Constipation
C0750197;Cancer Patient
C1413153;Malignant Neoplasms
C0206116;TYROBP gene
C0149871;Kidney Failure
C0557165;Survivors
C1413159;Adenocarcinoma
C2348264;Functional disorder of intestine
C2362561;Persons
C1413157;Adenocarcinoma
C0206111;Motility
C1512980;Neoplasms
C0221715;Male population group
C0041260;Tissue specimen
C0123257;Patients
C0582119;Mitochondrial Membrane Outer
C0123256;Patients
C1413161;Dendritic Cells
C0400439;Secondary Neoplasm
C0376284;Multimodal Imaging
C1512977;Cellular signal transduction
C0412412;Accumulation
C0042582;Laparotomy
C1425148;Chronic Obstructive Airway Disease
C0042580;Patients
C0028296;Nonagenarians
C0041249;Mental disorders
C2737259;Cell Count
C0042578;Pharmaceutical Preparations
C1427739;MAP Kinase Cascade
C0041242;Alpha 1
C1427738;lysophosphatidic acid
C0016284;Patients
C1414424;Specimen Type - Serum
C1415755;Polyp of large intestine
C1414421;EPAS1 gene
C1415752;MET protein human
C3830326;Electrochemiluminescence
C1414429;Secondary Neoplasm
C0111208;Poor outcome
C3843645;1-10
C3843646;Adenoma
C3843647;Survivors
C0042567;Vertebrates
C0041236;TRYPSIN
C4505263;Cytoplasm
C0679651;Symptoms
C4505265;Cohort
C1822624;Phosphorylation
C0030580;Secondary Neoplasm
C0016293;Pharmaceutical Preparations
C1415764;Fumarate Hydratase
C1414432;Neurons
C3483978;Participant
C1414431;Fusion protein
C1415761;Cytoplasmic matrix
C3468355;female genital cancer (diagnosis)
C1413108;Human tissue
C0810300;Ursodiol
C0162801;intestinal adenocarcinoma
C0149801;Hospitalization
C0280089;Carcinoid tumor of lung
C0449774;Cancer Stem Cells
C0342895;Mus
C1822614;gemcitabine
C0016263;Necrosis
C3203359;Parenchyma of spleen
C0679646;Calcium Dietary
C0028246;Colon structure (body structure)
C3470691;Chronic Obstructive Airway Disease
C4288171;Submucosal Lesion
C0041213;Trypan Blue
C0042542;diphyllin
C0243092;intestinal adenocarcinoma
C0016278;Persons
C3542813;Long Term Survivorship
C1414459;Hybrids
C0243095;Patients
C0030560;Air
C4505245;Receptor Notch4
C1413121;CAPZA1 gene
C0679637;Pain Postoperative
C0028259;Mass of body structure
C0030567;Neurodegenerative Disorders
C3203360;Chemoradiotherapy
C0030563;Real-Time Polymerase Chain Reaction
C4289495;Adenocarcinoma
C1425106;Colorectal cancer specimen
C1425101;Secondary Neoplasm
C0149826;Family history
C3470687;Cultured Cells
C0041200;Salmo trutta
C0677043;Histopathology
C0282682;Inflammation
C0281351;Patients
C0282683;Angiogenic Process
C0391841;Oxygen content
C0041206;Patients
C4036467;Gray-zone
C0004259;Patients
C3854325;Dermatitis Atopic
C4086720;Patients
C1749467;KL protein human
C0030552;Neurologic Examination
C0030551;parent
C1415714;Urinary Diversion
C0751455;Adenocarcinoma
C2677107;SCOLIOSIS ISOLATED SUSCEPTIBILITY TO 5
C0031886;Aichi virus
C2677108;SCOLIOSIS IDIOPATHIC SUSCEPTIBILITY TO 4 (finding)
C3842346;Elderly (population group)
C0042520;Plasminogen Activator Inhibitor 1
C4288189;Tubular adenoma
C0474700;Stomatitis
C0281361;Mus
C4086729;lymph nodes
C3203348;Biological Factors
C4520854;Patients
C0005575;Biotin
C0341593;Rectum excision (procedure)
C1427702;Adenocarcinoma of large intestine
C0582175;infection as a complication
C0053725;bis(cyclopentenecarboxylato)-12-diaminocyclohexane-platinum(II)
C0030548;Patients
C0030547;Encephalopathies
C0018889;Helminthiasis
C0017558;Gill structure
C1512909;Organoids
C0042514;Syncope
C3541532;Body tissue
C0042510;Syncope
C0018882;Helix (Snails)
C0679688;Persons
C4520844;School Health
C1822654;Cessation of life
C0043847;caspase-3
C3469659;Cell Survival
C1414408;EZH2 gene
C0666361;Bone lesion
C1414407;Malignant Neoplasms
C1414406;Patients
C1414405;LINC00174 gene
C0004271;Persons
C0836921;RUNX3 gene
C0836924;Colorectal Carcinoma
C0449738;T-Lymphocyte Subsets
C0031866;Phytochemicals
C0043832;Cell Death
C0751429;Stage IV Colon Carcinoma
C3495919;Cystic Fibrosis
C0016234;Neoadjuvant Therapy
C0018894;Bile Acids
C0279068;Cancer Patient
C0017563;Inflammation
C0004268;Larva
C0030520;Lesion
C0028210;Severe inflammation
C1835951;Cancer of Digestive System
C0031855;Patient Discharge
C0052418;Neoplasm Metastasis
C0017535;Giardia lamblia
C0016204;Anus
C0018866;Erinaceidae
C0282646;Cell Count
C0281318;partial response
C0282649;Urokinase Plasminogen Activator Receptor
C0751416;Survivors
C0701159;Patient in hospital
C0243041;ANTXR1 wt Allele
C0243043;Membrane
C0243044;ATP8A2 protein human
C0243045;Receptors Tumor Necrosis Factor Member 10b
C0006886;Protein Phosphatase 2A
C0342917;Liver damage
C0031845;Adult
C0295967;Cohort
C0005544;Hospitals General
C2700007;Patients
C4013784;regorafenib
C2919552;zotarolimus
C3842383;Tubular villous adenoma
C3842384;colonoscopy
C2931201;systemic therapy
C1113679;Colon and Rectal Surgery (procedure)
C2931202;Urachal cancer
C1872855;adjuvant therapy
C0031843;Community
C0317944;Parvimonas micra
C0317943;Blautia producta
C3180220;RNA Messenger
C0279000;Electroporation Therapy
C0929176;Hepatic
C3179233;MEK-ERK Pathway
C0018873;HeLa Cells
C3179230;Anti-Angiogenesis Effect
C0993756;Disease
C0243032;Tuberculosis
C0523843;Cell Count
C1845248;Outbursts
C0065749;Plasmids
C0243035;MIR1-2 gene
C0243037;Pharmaceutical Preparations
C0243038;Mus
C0031837;Physics
C0005532;biology (field)
C0052430;Antibiotics
C0206093;Neuroectodermal Tumors
C3662314;Patients
C3853043;Insurance Beneficiary
C0052432;Platinum
C3179234;Indoleacetic acid
C0016219;Flowers
C0031831;Icterus
C0341602;Surgical incisions
C1150635;Mast/Stem Cell Growth Factor Receptor Signaling Pathway
C0065751;Alkaloids
C0065752;Old age
C1113652;High-Grade Squamous Intraepithelial Lesions
C0341600;Patients
C0243021;Pharmaceutical Preparations
C0341605;Stomal bleeding
C0006863;Candidate Disease Gene
C1821244;Normal development
C0004238;Electrocardiography
C0341608;Stomal varices
C3890009;Proteinuria
C0053776;bisantrene
C0052441;SP1 gene
C0005560;Metastatic Renal Cell Cancer
C1835886;Angiogenic Process
C0018847;Heat Shock Protein 27
C0929193;Disease
C0279025;Primary malignant neoplasm of prostate
C1823897;VEGFA gene
C0279027;Patients
C3890011;PIN1 wt Allele
C0018850;Molecular Chaperones
C0342942;Surgical Procedures Laparoscopic
C0341610;Patients
C0031809;Bendamustine/Bortezomib/Dexamethasone Regimen
C1415700;Patients
C0460043;Neoplasm Metastasis
C0304627;Inflammation
C3890018;HSP90B2P wt Allele
C0282675;Tertiary Care Centers
C0005558;Metastatic Carcinoma to the Uterine Cervix
C1823893;Multiple tumors
C3640966;Pericardial effusion
C1858576;Patients
C0460048;removal technique
C0232370;Florid red complexion (finding)
C1294197;Mucous Membrane
C0558507;Patients
C0018823;Cardiomyopathy Familial Idiopathic
C1306673;Stage
C0243082;Thalidomide
C0282608;Body tissue
C0243083;Patients
C0243087;Heart
C0005507;Assay
C0522567;Mild inflammation
C0522568;Moderate inflammation
C0522569;Bladder mucosa
C0053799;Adrenergic beta-Antagonists
C0270629;Epidural Abscess
C0740721;Disease
C0051134;Neoplasms
C0018827;Muscle Cells
C2700041;Colorectal Carcinoma
C0018834;Capsaicin
C0282614;Operative Surgical Procedures
C0243072;Tumor Progression
C0243077;metastatic hypernephroma
C1846535;Stem cells
C1123023;antileukoprotease
C0018801;Anti-Inflammatory Agents
C0282624;ovarian neoplasm
C1123019;Domestic Sheep
C0282625;SRMS gene
C0342978;Abdominoperineal resection
C0521210;Sessile polyp
C2314848;Euchloe ausonia
C0005527;Patients
C0521213;Laboratory Procedures
C0005525;Oncogene Proteins
C0076456;Transverse colon
C0006826;South Asian
C0268353;BARRIER
C0018809;Patients
C1317301;Cirrhosis
C0018802;Clinical Observation
C0282636;Cell Respiration
C3156592;Inflammatory Bowel Diseases
C1123009;vasculogenesis
C0282638;Surgical Wound Infection
C0474643;Vaccines
C3156591;Colorectal Neoplasms
C0534519;mRNA Expression
C0282639;Fenofibrate
C0243052;Crohn Disease
C1367578;TP53 gene
C0005516;Stage IV Colorectal Cancer
C0005515;Skin carcinoma
C0460002;MLH1 gene
C0460004;Adenoid Cystic Carcinoma
C1571338;Growth
C3539197;Malignant Neoplasms
C0210995;FAMILIAL ADENOMATOUS POLYPOSIS ATTENUATED (disorder)
C1883589;Adverse Event Outcome
C2350562;Chemicals
C0870071;Health center
C0206008;Congenital Abnormality
C1955856;CD69 protein human
C0919766;Decreased vitamin D
C1306645;Macrophage Activation Syndrome
C0919765;Malignant tumor of colon
C1511667;Cell Death
C0184252;Medical Valves
C0077791;Colorectal Carcinoma
C0006812;irinotecan
C1511661;DNA Damage
C0596843;brexpiprazole
C0303390;Cobalt-55
C0064494;Surgical circumferential margin finding
C0087111;Biologic Development
C0582205;Analysis
C1955822;NOAC protocol
C1523645;production of miRNAs involved in gene silencing by miRNA
C2362527;Cachexia
C1306613;Pancreaticoduodenectomy
C0206031;Hospitals High-Volume
C0206034;DNA Nucleotidylexotransferase human
C1450093;FBXO10 gene
C1523647;miRNA binding
C4303971;Gastrointestinal Diseases
C0087134;Uninsured
C1320928;Resident (physician)
C0087136;African American
C0270612;Beriberi
C0270614;Patients
C0920779;Colitis Ischemic
C0087130;Perceived quality of life
C0089793;dieckol
C0206058;Gastrinoma
C3266992;Adenocarcinoma of lung (disorder)
C0233677;Patients
C0871356;Sexual function
C2362501;Homo sapiens
C0243001;Gastrointestinal perforation
C0546535;postoperative analgesia
C0245662;Apoptosis
C1979852;Neoplasms
C1425074;UCN3 gene
C0075189;Phosphoproteins
C2350522;Surgeon
C0087162;Peripheral Neuropathy
C1077578;Bikinia le-testui
C0497327;Cohort
C1979844;Trypsin Inhibitors
C0596803;iron metabolism
C1702824;necrostatin-1
C3179280;Radiation-Sensitizing Effect
C0206076;Woman
C1883562;Working Group
C3192263;Marinesco-Sjogren syndrome
C1450054;Artificial nanoparticles
C2919576;Patients
C1536999;cancer angiogenesis
C0206082;Woman
C2239176;Long-Term Potentiation
C0232338;Jejunum
C1883559;Negative
C0206062;Lung Diseases Interstitial
C2919572;Digestive System Disorders
C0206061;Neoplasms
C0206066;Myocutaneous flap
C0206065;primary tumor
C4314646;Patients
C1210564;Administration Oral
C0378796;SLC6A2 protein human
C1512804;Insulin Signaling Pathway
C0907709;Centromere
C1425274;Transcription Genetic
C0041199;Troponin
C0197607;Implantation procedure
C0400330;Abdominoperineal resection
C1425289;Circulating Tumor DNA
C0424316;Exuberance
C3820816;quiescence
C0596890;Aurora Kinase A
C1210581;Prebiotics
C1425291;Methylation
C1425292;Epithelial Cells
C1749524;Tumor Necrosis Factor Ligand Superfamily Member 6
C0861876;Recurrent Hepatocellular Carcinoma
C1512814;gastrointestinal toxicity
C1512812;DCBLD1 gene
C1512811;Integrin Inhibition
C3539125;Neutrophil Extracellular Traps
C0303190;Copper-64
C0041165;Communicable Diseases
C0232504;Hemorrhagic diarrhea
C1822712;Signal Transduction Pathways
C1511518;Diploid Cell
C2216322;Malignant tumor of colon
C1260873;Clinical Observation
C3470592;ENO3 gene
C0149978;Middle Aged
C0041158;Trocar
C1413260;Cytoplasm
C0861819;Pharmacotherapy
C3844813;Patients
C0042487;Venous Thrombosis
C1511504;Gastric Adenocarcinoma
C0596883;Colon structure (body structure)
C0919721;Digestive System Neoplasms
C0861814;Papilla
C2363781;Multiple Cerebrovascular accidents
C0679739;peer
C3470585;oxaliplatin
C0605411;Neoplasms
C0162969;Birth
C0219510;mutant
C1413274;Single Nucleotide Polymorphism
C0376152;Bone Tissue
C0376154;Skin callus
C1452875;Colorectal Carcinoma
C3554772;Persons
C0679729;research
C0030499;Parasitic Diseases
C0030498;Parasites
C0304497;RNA
C1425259;Metabolism
C2350467;alpha-galactosylceramide
C0221839;Colorectal Neoplasms
C0920746;Patients
C2350466;Lymphoma
C0848860;endocrine carcinoma
C0233820;Cohort
C1272820;Secondary malignant neoplasm of liver
C0016194;Escherichia coli
C1413289;pyridine
C1413287;Tumor Suppressor Genes
C0596869;Neoplasm of lymph node
C1426592;Tumor cells malignant
C1512853;epithelial to mesenchymal transition
C2242626;Hypertension Portal
C0861830;Pancreaticoduodenectomy
C2242628;Pouchitis
C0666411;Tumor cells uncertain whether benign or malignant
C0401641;Hospitals
C0016169;Human Papillomavirus
C0016167;Anal Fissure
C0042454;Velopharyngeal Insufficiency
C0341422;Patients
C1858709;HEPATIC FIBROSIS SEVERE SUSCEPTIBILITY TO DUE TO SCHISTOSOMA MANSONI INFECTION
C0016163;Fishes
C0030472;Hematologic Neoplasms
C1415877;Colorectal Cancer
C1846723;Adipogenesis
C1415876;Mutation
C0149939;Malignant Neoplasms
C0029473;Peristomal fistula
C0341439;Ascites
C0042446;sphingosine 1-phosphate
C0043775;Endoplasmic Reticulum Stress
C1272883;Diastasis
C1101610;Cancer Cell Growth
C0174906;Constipation
C1415888;Cutaneous Melanoma
C1413227;Adenocarcinoma of rectum
C1822742;SLC25A32 gene
C3661066;TDM-621
C0042449;liver infection
C0053800;Extracellular Signal Regulated Kinases
C3470541;Colorectal Carcinoma
C0028156;Biological Factors
C0028155;Dysentery
C0436343;Patients
C0028158;Body tissue
C0005496;Signal Transduction
C0436345;topiramate
C0005495;Origin of Life
C0042440;Colorectal Carcinoma
C0005492;Malignant Neoplasms
C0149925;Liver
C0017472;MSH6 gene
C0017473;Persons
C1822730;Western Blotting
C1414563;Malignant tumor of colon
C0966063;phenolic acid
C0028128;Protoplasm
C0029453;Osteoporosis circumscripta
C0029456;Persons
C1426548;Growth
C0149955;Malignant Neoplasms
C0031789;Growth
C0042425;Adenosquamous carcinoma
C1414571;Prognosis good
C3843504;aflibercept
C0016158;Food
C0016157;Colon Carcinoma
C0679750;concomitant disease
C1413248;Disease Progression
C0255194;intestinal adenocarcinoma
C1413244;Genes
C0030446;tat Genes
C0267179;Gastrocolic fistula
C3470560;Colorectal Carcinoma
C1425225;Magnesium
C0162905;Cell Proliferation
C0029463;Persons
C1834700;Pneumonia
C1425224;Tumor tissue sample
C0122005;Genes
C1821461;Patients
C0042413;Vasopressins
C0018787;Adverse reaction to drug
C4505353;colonoscopy
C0809246;Non-Small Cell Lung Carcinoma
C0004135;Wound Healing
C0004134;Leukoencephalopathies
C3805278;Hepatitis C
C0751571;reproductive system disorder
C1822781;Gene Expression
C0018799;Diabetes Mellitus Non-Insulin-Dependent
C1427829;Malignant neoplasm of gastrointestinal tract
C1328050;Patients
C0751569;Metastatic Renal Cell Cancer
C0017463;cancer diagnosis
C0018790;Intestines Small
C4505345;Rapamycin-Insensitive Companion of mTOR Protein
C1415842;In complete remission
C0436307;Suppuration
C0029446;Neoplasms
C0028115;bacteriocin
C0005456;Malignant neoplasm of brain
C1414518;ACSL1 Gene
C0030421;Colon structure (body structure)
C1415846;Colorectal Carcinoma
C0281481;Adult
C0004120;Homo sapiens
C0031753;lymph node positive
C0018767;Participant
C0449616;Submandibular triangle structure
C0150904;Interventional procedure
C0006780;Nail-Patella Syndrome
C0150905;Therapeutic procedure
C0017431;Endometriosis
C1415856;ID3 gene
C0065839;Complementary and alternative medicine
C1822777;IL5 protein human
C1414521;Antitumor Response
C1414520;CDC2 Protein Kinase
C0109013;Neoplasms
C0005486;Colorectal Carcinoma
C1820119;Motility
C1415857;Oncogenes
C0436331;Symptom aggravating factors
C0031740;Ability
C3156642;Patients
C0751551;Radical excision
C0738591;Large Mass
C0006790;Squamous intraepithelial lesion
C0017440;Gentian Violet
C0005477;Biochemistry
C1367731;MAPK8 gene
C0004144;Atelectasis
C4086837;Carcinoma Transitional Cell
C0400395;Patients
C3156633;hepatoma cell
C0280100;LGALS9 protein human
C0017411;Endometriosis
C3829290;Lewis Rat Strain
C0005427;Biliary Tract Surgical Procedures
C0005423;Icterus
C1858663;CABIN1 gene
C0031727;MAP kinase kinase kinase activity
C2047258;methylsulfonylmethane
C0231170;Disability
C0268450;Mutation
C0231173;Patients
C0231178;risk factors
C0017416;bevacizumab
C1832037;AZD-7762
C0018747;Ethnic group
C1856007;Patients
C0559938;Perforation of ileum
C0017421;Adenocarcinoma
C0017420;Granulomatous inflammation
C0063208;alginate
C1112211;Veins
C0005417;Patients
C0029408;Degenerative polyarthritis
C0031715;Mus
C0031716;Choline
C0267111;Barrett Esophagus
C0029401;Diagnosis
C0017429;Cytomegalovirus
C0231187;Decompensation
C0017428;Pancreatitis Chronic
C0018724;Persons
C3181682;Malignant neoplasm of kidney
C1822692;Hexokinase 2
C0232488;Abdominal colic
C2062866;Acute occlusion of artery
C0279134;Prostate
C1819041;protein kinase activation
C0064548;Fluorouracil
C0522622;Rectum
C0243144;Bone structure of rib
C1883644;EIF4A3 gene
C1868019;Operative Surgical Procedures
C0522621;Ascending colon
C1282273;Pancreaticoduodenectomy
C3891218;CELF6 gene
C1112209;Intraabdominal Infections
C0006746;Colorectal Carcinoma
C1282272;Reconstructive Surgical Procedures
C1318793;8-oxo-7-hydrodeoxyguanosine
C0005446;FRAP1 protein human
C0004114;Astrocytoma
C0545309;Pharmaceutical Preparations
C0031707;Aggressive Clinical Course
C0232483;Surgical Replantation
C0232487;Pancreatic duct
C3253708;Tumor Progression
C0031701;DNA Damage
C0018735;Health Policy
C0751507;Carcinogenesis
C1427808;DEPTOR gene
C0751506;REM Sleep Deprivation
C0063220;Cancer Patient
C0473237;Male population group
C1367656;Malignant tumor of colon
C4544822;Cohort
C1822686;Mutation
C1522281;Vitamins
C0005437;Alkaline Phosphatase
C1558210;Intraoperative Injury
C0005435;Interventional procedure
C1535597;Mus
C0052573;astragalin
C1415826;Colorectal Carcinoma
C1415825;Postoperative fistula
C0232493;Patients
C0232491;Catechol O-Methyltransferase
C0232492;Billroth I Procedure
C1833334;Patients
C0018738;Intervention regimes
C0232495;Elderly man
C0100748;SMAD2 gene
C1368999;Telangiectasis
C0424295;DNA Replication
C0006726;Participant
C0267167;Ursodiol
C0740844;Radiography Abdominal
C1832073;Patients
C2047215;Herpesvirus 5 infection
C3179302;NF-E2-Related Factor 2
C0018704;Indocyanine green angiography
C0063245;Amino Acids
C0243192;ONC201
C4543510;Patients
C1367671;Cachexia
C0006736;Intrahepatic bile duct
C1317452;Turcot syndrome (disorder)
C1318786;Assay
C1846661;Pelvic lymphadenectomy
C0449575;Nonalcoholic Steatohepatitis
C0449574;Malignant neoplasm of anus
C1112240;Secondary malignant neoplasm of lymph node
C0763464;N-ras Genes
C0005404;Uptake
C0075246;stevioside
C0005401;Aneurysm
C3662487;inhibitors
C0005400;Sulfoglycosphingolipids
C0270769;Spinal Cord
C0063252;desflurane
C0064582;Viable cells
C0255156;Myeloid Leukemia Chronic
C0341539;Elective Surgical Procedures
C0521390;Cations
C0919654;Patients
C0206131;Engineer
C1306754;Patients
C2348124;Colorectal Carcinoma
C1512886;Internal Ribosome Entry Sites
C0919661;Mus
C0596952;Permeability
C0920638;Robotic Surgical Procedures
C0221780;Extravasation
C1150587;TLR4 protein human
C0557351;Patients
C1150582;Phosphotransferases
C1511540;CpG Island Methylator Phenotype
C0244404;Pharmaceutical Preparations
C2350439;Feces
C2895206;Autoimmune disease (systemic) NOS
C2037866;Patients
C2363736;Cancer Patient
C0376196;Opium
C0160390;Selenium
C0206152;Secondary Neoplasm
